10	K	0.24
10	L2	0.01
10	L3	0.01
11	K	0.28
11	L1	0.28
11	L2	0.02
11	L3	0.02
12	K	0.33
12	L1	0.46
12	L2	0.03
12	L3	0.03
13	K	0.37
13	L1	0.78
13	L2	0.04
13	L3	0.04
14	K	0.43
14	L1	0.9
14	L2	0.05
14	L3	0.05
15	K	0.47
15	L1	1.1
15	L2	0.07
15	L3	0.07
16	K	0.52
16	L1	1.3
16	L2	0.09
16	L3	0.09
17	K	0.57
17	L1	1.5
17	L2	0.11
17	L3	0.11
18	K	0.66
18	L1	1.8
18	L2	0.13
18	L3	0.13
18	M1	0.14
19	K	0.71
19	L1	2.1
19	L2	0.18
19	L3	0.18
19	M1	0.7
20	K	0.77
20	L1	2.5
20	L2	0.21
20	L3	0.21
20	M1	1.1
20	M2	1.2
20	M3	1.2
21	K	0.83
21	L1	3.3
21	L2	0.36
21	L3	0.23
21	M1	1.7
21	M2	1.2
21	M3	1.2
22	K	0.89
22	L1	3.9
22	L2	0.52
22	L3	0.25
22	M1	2.1
22	M2	1.2
22	M3	1.2
23	K	0.96
23	L1	4.6
23	L2	0.78
23	L3	0.28
23	M1	2.2
23	M2	1.2
23	M3	1.2
24	K	1.02
24	L1	5.2
24	L2	0.76
24	L3	0.32
24	M1	2.3
24	M2	1.2
24	M3	1.2
25	K	1.11
25	L1	6.2
25	L2	0.97
25	L3	0.36
25	M1	2.4
25	M2	1.2
25	M3	1.2
26	K	1.19
26	L1	7.0
26	L2	1.14
26	L3	0.41
26	M1	2.4
26	M2	1.23
26	M3	1.23
27	K	1.28
27	L1	7.2
27	L2	1.13
27	L3	0.47
27	M1	2.4
27	M2	1.25
27	M3	1.27
28	K	1.39
28	L1	6.4
28	L2	0.98
28	L3	0.53
28	M1	2.3
28	M2	1.3
28	M3	1.3
29	K	1.49
29	L1	5.5
29	L2	1.04
29	L3	0.61
29	M1	2.2
29	M2	1.9
29	M3	1.8
30	K	1.62
30	L1	4.8
30	L2	1.06
30	L3	0.68
30	M1	2.1
30	M2	2.1
30	M3	2.15
31	K	1.76
31	L1	4.1
31	L2	0.77
31	L3	0.77
31	M1	2.0
31	M2	2.25
31	M3	2.3
31	M4	0.012
32	K	1.92
32	L1	3.8
32	L2	0.86
32	L3	0.86
32	M1	2.1
32	M2	2.3
32	M3	2.3
32	M4	0.045
32	M5	0.044
33	K	2.09
33	L1	3.8
33	L2	0.95
33	L3	0.94
33	M1	2.4
33	M2	2.25
33	M3	2.25
33	M4	0.058
33	M5	0.06
34	K	2.28
34	L1	3.8
34	L2	1.05
34	L3	1.02
34	M1	2.8
34	M2	2.2
34	M3	2.2
34	M4	0.065
34	M5	0.066
35	K	2.49
35	L1	3.8
35	L2	1.14
35	L3	1.11
35	M1	3.2
35	M2	2.1
35	M3	2.15
35	M4	0.068
35	M5	0.07
36	K	2.71
36	L1	3.75
36	L2	1.25
36	L3	1.19
36	M1	3.5
36	M2	1.6
36	M3	1.1
36	M4	0.07
36	M5	0.072
37	K	2.96
37	L1	3.75
37	L2	1.34
37	L3	1.27
37	M1	4.0
37	M2	1.9
37	M3	1.95
37	M4	0.067
37	M5	0.069
38	K	3.23
38	L1	3.75
38	L2	1.43
38	L3	1.35
38	M1	4.4
38	M2	1.9
38	M3	1.9
38	M4	0.061
38	M5	0.064
39	K	3.51
39	L1	3.75
39	L2	1.53
39	L3	1.43
39	M1	4.9
39	M2	1.95
39	M3	1.95
39	M4	0.062
39	M5	0.066
40	K	3.83
40	L1	3.75
40	L2	1.63
40	L3	1.51
40	M1	5.4
40	M2	2.0
40	M3	2.0
40	M4	0.07
40	M5	0.074
41	K	4.16
41	L1	3.8
41	L2	1.73
41	L3	1.6
41	M1	5.8
41	M2	2.05
41	M3	2.05
41	M4	0.092
41	M5	0.095
42	K	4.52
42	L1	3.8
42	L2	1.83
42	L3	1.69
42	M1	6.3
42	M2	2.1
42	M3	2.1
42	M4	0.22
42	M5	0.12
43	K	4.91
43	L1	3.8
43	L2	1.93
43	L3	1.78
43	M1	6.7
43	M2	2.15
43	M3	2.15
43	M4	0.5
43	M5	0.14
44	K	5.33
44	L1	3.9
44	L2	2.03
44	L3	1.87
44	M1	7.2
44	M2	2.2
44	M3	2.2
44	M4	0.59
44	M5	0.17
45	K	5.77
45	L1	4.0
45	L2	2.13
45	L3	1.96
45	M1	7.6
45	M2	2.25
45	M3	2.25
45	M4	0.61
45	M5	0.21
46	K	6.25
46	L1	3.9
46	L2	2.23
46	L3	2.05
46	M1	8.0
46	M2	2.35
46	M3	2.35
46	M4	0.26
46	M5	0.26
47	K	6.76
47	L1	3.8
47	L2	2.32
47	L3	2.15
47	M1	8.4
47	M2	2.45
47	M3	2.55
47	M4	0.30
47	M5	0.31
48	K	7.32
48	L1	3.5
48	L2	2.42
48	L3	2.24
48	M1	8.8
48	M2	2.55
48	M3	2.8
48	M4	0.34
48	M5	0.35
49	K	7.9
49	L1	3.0
49	L2	2.53
49	L3	2.34
49	M1	9.2
49	M2	2.7
49	M3	3.05
49	M4	0.38
49	M5	0.39
50	K	8.53
50	L1	2.4
50	L2	2.64
50	L3	2.43
50	M1	9.6
50	M2	2.85
50	M3	3.3
50	M4	0.43
50	M5	0.44
51	K	9.2
51	L1	2.3
51	L2	2.74
51	L3	2.53
51	M1	10.0
51	M2	3.0
51	M3	3.6
51	M4	0.47
51	M5	0.48
52	K	9.91
52	L1	2.2
52	L2	2.84
52	L3	2.62
52	M1	10.2
52	M2	3.2
52	M3	3.9
52	M4	0.52
52	M5	0.52
53	K	10.7
53	L1	2.1
53	L2	2.95
53	L3	2.72
53	M1	10.4
53	M2	3.35
53	M3	4.3
53	M4	0.56
53	M5	0.56
54	K	11.5
54	L1	2.0
54	L2	3.05
54	L3	2.82
54	M1	10.6
54	M2	3.5
54	M3	4.7
54	M4	0.6
54	M5	0.6
55	K	12.3
55	L1	2.0
55	L2	3.15
55	L3	2.92
55	M1	10.8
55	M2	3.7
55	M3	5.0
55	M4	0.63
55	M5	0.63
56	K	13.2
56	L1	2.1
56	L2	3.25
56	L3	3.02
56	M1	11.1
56	M2	3.9
56	M3	5.4
56	M4	0.67
56	M5	0.67
57	K	14.2
57	L1	2.2
57	L2	3.35
57	L3	3.12
57	M1	11.4
57	M2	4.1
57	M3	5.8
57	M4	0.7
57	M5	0.7
58	K	15.2
58	L1	2.5
58	L2	3.41
58	L3	3.19
58	M1	11.6
58	M2	4.3
58	M3	6.2
58	M4	0.72
58	M5	0.72
59	K	16.2
59	L1	2.7
59	L2	3.48
59	L3	3.27
59	M1	11.8
59	M2	4.5
59	M3	6.7
59	M4	0.75
59	M5	0.75
60	K	17.4
60	L1	2.9
60	L2	3.55
60	L3	3.36
60	M1	12.0
60	M2	4.7
60	M3	7.3
60	M4	0.78
60	M5	0.78
61	K	18.5
61	L1	3.1
61	L2	3.63
61	L3	3.44
61	M1	12.2
61	M2	5.0
61	M3	7.8
61	M4	0.82
61	M5	0.82
62	K	19.8
62	L1	3.3
62	L2	3.7
62	L3	3.53
62	M1	12.4
62	M2	5.2
62	M3	8.1
62	M4	0.86
62	M5	0.86
63	K	21.1
63	L1	3.6
63	L2	3.77
63	L3	3.62
63	M1	12.6
63	M2	5.4
63	M3	8.2
63	M4	0.9
63	M5	0.9
64	K	22.4
64	L1	3.8
64	L2	3.87
64	L3	3.72
64	M1	12.8
64	M2	5.6
64	M3	8.3
64	M4	0.95
64	M5	0.95
65	K	23.8
65	L1	4.0
65	L2	3.93
65	L3	3.8
65	M1	13.0
65	M2	5.8
65	M3	8.2
65	M4	1.01
65	M5	1.01
66	K	25.3
66	L1	4.3
66	L2	4.01
66	L3	3.9
66	M1	13.2
66	M2	6.0
66	M3	8.0
66	M4	1.065
66	M5	1.065
67	K	26.9
67	L1	4.5
67	L2	4.09
67	L3	4.0
67	M1	13.4
67	M2	6.3
67	M3	7.8
67	M4	1.13
67	M5	1.13
68	K	28.5
68	L1	4.7
68	L2	4.18
68	L3	4.1
68	M1	13.6
68	M2	6.6
68	M3	7.5
68	M4	1.2
68	M5	1.2
69	K	30.2
69	L1	4.9
69	L2	4.26
69	L3	4.2
69	M1	13.8
69	M2	6.85
69	M3	7.1
69	M4	1.27
69	M5	1.27
70	K	32.0
70	L1	5.2
70	L2	4.36
70	L3	4.31
70	M1	13.9
70	M2	7.1
70	M3	6.7
70	M4	1.35
70	M5	1.35
71	K	33.9
71	L1	5.4
71	L2	4.46
71	L3	4.43
71	M1	14.1
71	M2	7.3
71	M3	6.0
71	M4	1.43
71	M5	1.43
72	K	35.9
72	L1	5.7
72	L2	4.57
72	L3	4.55
72	M1	14.2
72	M2	7.5
72	M3	5.6
72	M4	1.52
72	M5	1.52
73	K	37.9
73	L1	6.0
73	L2	4.69
73	L3	4.68
73	M1	14.3
73	M2	7.8
73	M3	5.7
73	M4	1.61
73	M5	1.61
74	K	40.1
74	L1	6.3
74	L2	4.82
74	L3	4.81
74	M1	14.5
74	M2	8.1
74	M3	6.4
74	M4	1.7
74	M5	1.7
75	K	42.2
75	L1	6.7
75	L2	4.95
75	L3	4.95
75	M1	14.6
75	M2	8.4
75	M3	6.9
75	M4	1.79
75	M5	1.79
76	K	44.6
76	L1	7.2
76	L2	5.09
76	L3	5.09
76	M1	14.7
76	M2	8.6
76	M3	7.5
76	M4	1.89
76	M5	1.89
77	K	47.0
77	L1	7.9
77	L2	5.23
77	L3	5.24
77	M1	14.8
77	M2	8.9
77	M3	8.0
77	M4	1.99
77	M5	1.99
78	K	49.5
78	L1	8.8
78	L2	5.38
78	L3	5.39
78	M1	14.9
78	M2	9.2
78	M3	8.3
78	M4	2.08
78	M5	2.08
79	K	52.1
79	L1	9.8
79	L2	5.53
79	L3	5.54
79	M1	15.0
79	M2	9.5
79	M3	8.5
79	M4	2.18
79	M5	2.18
80	K	54.8
80	L1	10.5
80	L2	5.69
80	L3	5.71
80	M1	15.1
80	M2	9.8
80	M3	8.6
80	M4	2.28
80	M5	2.28
81	K	57.6
81	L1	11.1
81	L2	5.87
81	L3	5.89
81	M1	15.1
81	M2	10.1
81	M3	8.7
81	M4	2.38
81	M5	2.38
82	K	60.6
82	L1	11.8
82	L2	5.04
82	L3	6.07
82	M1	15.2
82	M2	10.4
82	M3	8.7
82	M4	2.48
82	M5	2.48
83	K	63.6
83	L1	12.3
83	L2	6.22
83	L3	6.27
83	M1	15.2
83	M2	10.7
83	M3	8.6
83	M4	2.58
83	M5	2.58
84	K	66.8
84	L1	12.7
84	L2	6.41
84	L3	6.46
84	M1	15.3
84	M2	11.1
84	M3	8.5
84	M4	2.68
84	M5	2.68
85	K	70.0
85	L1	13.0
85	L2	6.6
85	L3	6.66
85	M1	15.3
85	M2	11.4
85	M3	8.4
85	M4	2.78
85	M5	2.78
86	K	73.4
86	L1	13.2
86	L2	6.81
86	L3	6.87
86	M1	15.3
86	M2	11.7
86	M3	8.3
86	M4	2.88
86	M5	2.88
87	K	76.9
87	L1	13.5
87	L2	7.02
87	L3	7.08
87	M1	15.4
87	M2	12.1
87	M3	8.2
87	M4	2.98
87	M5	2.98
88	K	80.6
88	L1	13.7
88	L2	7.5
88	L3	7.29
88	M1	15.4
88	M2	12.5
88	M3	8.2
88	M4	3.08
88	M5	3.08
