#F MShellConstants.dat
#U00 References:
#U01 M.H. Chen, B. Crasemann, H. Mark 
#U02      Relativistic M-shell radiationless transitions
#U03      Physical Review A volume 21 number 2 (1980) 449-453.
#U04 M.H. Chen, B. Crasemann, H. Mark 
#U05      Radiationless transitions to atomic M1,2,3 shells:
#U06      Results of relativistic theory
#U07      Physical Review A volume 27 number 6 (1983) 2989-2994.
#U08 Widths are given in eV
#U09

#S 1 M1 x-ray data
#N 7
#L Z  f12  f13  f14  f15  omegaM1  gammaM1
1  0  0  0  0  0  0  
2  0  0  0  0  0  0  
3  0  0  0  0  0  0  
4  0  0  0  0  0  0  
5  0  0  0  0  0  0  
6  0  0  0  0  0  0  
7  0  0  0  0  0  0  
8  0  0  0  0  0  0  
9  0  0  0  0  0  0  
10  0  0  0  0  0  0  
11  0  0  0  0  0  0  
12  0  0  0  0  0  0  
13  0  0  0  0  0  0  
14  0  0  0  0  0  0  
15  0  0  0  0  0  0  
16  0  0  0  0  0  0  
17  0  0  0  0  0  0  
18  0  0  0  0  0  0  
19  0  0  0  0  0  0  
20  0  0  0  0  0  0  
21  0  0  0  0  0  0  
22  0  0  0  0  0  0  
23  0  0  0  0  0  0  
24  0  0  0  0  0  0  
25  0  0  0  0  0  0  
26  0  0  0  0  0  0  
27  0  0  0  0  0  0  
28  0  0  0  0  0  0  
29  0  0  0  0  0  0  
30  0  0  0  0  0  0  
31  0  0  0  0  0  0  
32  0  0  0  0  0  0  
33  0  0  0  0  0  0  
34  0  0  0  0  0  0  
35  0  0  0  0  0  0  
36  0  0  0  0  0  0  
37  0  0  0  0  0  0  
38  0  0  0  0  0  0  
39  0  0  0  0  0  0  
40  0  0  0  0  0  0  
41  0  0  0  0  0  0  
42  0  0  0  0  0  0  
43  0  0  0  0  0  0  
44  0  0  0  0  0  0  
45  0  0  0  0  0  0  
46  0  0  0  0  0  0  
47  0  0  0  0  0  0  
48  0  0  0  0  0  0  
49  0  0  0  0  0  0  
50  0  0  0  0  0  0  
51  0  0  0  0  0  0  
52  0  0  0  0  0  0  
53  0  0  0  0  0  0  
54  0  0  0  0  0  0  
55  0  0  0  0  0  0  
56  0  0  0  0  0  0  
57  0  0  0  0  0  0  
58  0  0  0  0  0  0  
59  0  0  0  0  0  0  
60  0  0  0  0  0  0  
61  0  0  0  0  0  0  
62  0  0  0  0  0  0  
63  0  0  0  0  0  0  
64  0  0  0  0  0  0  
65  0  0  0  0  0  0  
66  0  0  0  0  0  0  
67  0.292  0.609  0.082  0.114  0.00099  15.66  
68  0.25633  0.613  0.081333  0.11367  0.0010533  16.037  
69  0.22067  0.617  0.080667  0.11333  0.0011167  16.413  
70  0.185  0.621  0.08  0.113  0.00118  16.79  
71  0.17425  0.6245  0.0815  0.115  0.0012925  16.797  
72  0.1635  0.628  0.083  0.117  0.001405  16.805  
73  0.15275  0.6315  0.0845  0.119  0.0015175  16.813  
74  0.142  0.635  0.086  0.121  0.00163  16.82  
75  0.14025  0.6235  0.08625  0.121  0.0017575  17.063  
76  0.1385  0.612  0.0865  0.121  0.001885  17.305  
77  0.13675  0.6005  0.08675  0.121  0.0020125  17.547  
78  0.135  0.589  0.087  0.121  0.00214  17.79  
79  0.1325  0.589  0.0875  0.1215  0.002305  18.015  
80  0.13  0.589  0.088  0.122  0.00247  18.24  
81  0.126  0.5906  0.0886  0.1224  0.002668  18.402  
82  0.122  0.5922  0.0892  0.1228  0.002866  18.564  
83  0.118  0.5938  0.0898  0.1232  0.003064  18.726  
84  0.114  0.5954  0.0904  0.1236  0.003262  18.888  
85  0.11  0.597  0.091  0.124  0.00346  19.05  
86  0.107  0.603  0.092667  0.12567  0.0037833  19.023  
87  0.104  0.609  0.094333  0.12733  0.0041067  18.997  
88  0.101  0.615  0.096  0.129  0.00443  18.97  
89  0.0895  0.6125  0.096  0.129  0.0047  19.145  
90  0.078  0.61  0.096  0.129  0.00497  19.32  
91  0.079  0.6075  0.0965  0.129  0.00535  19.425  
92  0.08  0.605  0.097  0.129  0.00573  19.53  
93  0.081333  0.60833  0.098  0.12967  0.0061333  19.597  
94  0.082667  0.61167  0.099  0.13033  0.0065367  19.663  
95  0.084  0.615  0.1  0.131  0.00694  19.73  
96  0.084  0.615  0.1  0.131  0.00694  19.73  
97  0.084  0.615  0.1  0.131  0.00694  19.73  
98  0.084  0.615  0.1  0.131  0.00694  19.73  
99  0.084  0.615  0.1  0.131  0.00694  19.73  
100  0.084  0.615  0.1  0.131  0.00694  19.73  
101  0.084  0.615  0.1  0.131  0.00694  19.73  
102  0.084  0.615  0.1  0.131  0.00694  19.73  
103  0.084  0.615  0.1  0.131  0.00694  19.73  
104  0.084  0.615  0.1  0.131  0.00694  19.73  
105  0.084  0.615  0.1  0.131  0.00694  19.73  
106  0.084  0.615  0.1  0.131  0.00694  19.73  
107  0.084  0.615  0.1  0.131  0.00694  19.73  
