
#S1 K x-ray emission rates
#N 17
#L Z  TOTAL  KL1  KL2  KL3  KM1  KM2  KM3  KM4  KM5  KN1  KN2  KN3  KN45  KO23  KO45  KP23
1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
5  1.949e-005  9.9538e-011  0.33299  0.66701  0  0  0  0  0  0  0  0  0  0  0  0  
6  0.0001033  1.4521e-010  0.33398  0.66602  0  0  0  0  0  0  0  0  0  0  0  0  
7  0.0003305  2.4327e-010  0.33404  0.66596  0  0  0  0  0  0  0  0  0  0  0  0  
8  0.0008232  4.0816e-010  0.33431  0.66569  0  0  0  0  0  0  0  0  0  0  0  0  
9  0.001758  6.6553e-010  0.33447  0.66553  0  0  0  0  0  0  0  0  0  0  0  0  
10  0.00337  1.0534e-009  0.33472  0.66528  0  0  0  0  0  0  0  0  0  0  0  0  
11  0.005756  1.7894e-009  0.33461  0.66539  3.1619e-011  0  0  0  0  0  0  0  0  0  0  0  
12  0.00911  2.9857e-009  0.3348  0.6652  1.7673e-010  0  0  0  0  0  0  0  0  0  0  0  
13  0.013824  4.8033e-009  0.33276  0.66117  4.1305e-010  0.0020327  0.0040365  0  0  0  0  0  0  0  0  0  
14  0.020239  7.4607e-009  0.32956  0.65368  7.7078e-010  0.0056178  0.011147  0  0  0  0  0  0  0  0  0  
15  0.028752  1.1164e-008  0.3252  0.64483  1.3077e-009  0.010048  0.019929  0  0  0  0  0  0  0  0  0  
16  0.039804  1.6355e-008  0.32057  0.63486  2.0852e-009  0.014948  0.02962  0  0  0  0  0  0  0  0  0  
17  0.053952  2.3354e-008  0.31547  0.62463  3.1695e-009  0.02011  0.039795  0  0  0  0  0  0  0  0  0  
18  0.071682  3.2644e-008  0.31054  0.61382  4.6874e-009  0.025418  0.050222  0  0  0  0  0  0  0  0  0  
19  0.093274  4.5029e-008  0.30695  0.60574  7.0759e-009  0.029311  0.058001  0  0  1.7583e-010  0  0  0  0  0  0  
20  0.11939  6.1312e-008  0.30405  0.59972  1.0386e-008  0.032331  0.063908  0  0  8.1414e-010  0  0  0  0  0  0  
21  0.15004  8.2644e-008  0.30325  0.59717  1.4463e-008  0.033458  0.066116  1.053e-006  1.5529e-006  1.1397e-009  0  0  0  0  0  0  
22  0.18598  1.1023e-007  0.30272  0.59522  1.9841e-008  0.034305  0.067749  2.7637e-006  4.0649e-006  1.5324e-009  0  0  0  0  0  0  
23  0.228  1.4473e-007  0.30219  0.59385  2.6622e-008  0.034956  0.06899  5.2192e-006  7.6753e-006  2e-009  0  0  0  0  0  0  
24  0.27603  1.8875e-007  0.30251  0.59415  3.4743e-008  0.034779  0.068544  9.2745e-006  1.3549e-005  9.6368e-010  0  0  0  0  0  0  
25  0.33189  2.4285e-007  0.30221  0.59086  4.61e-008  0.036006  0.070897  1.2685e-005  1.841e-005  3.2541e-009  0  0  0  0  0  0  
26  0.39641  3.1029e-007  0.30171  0.59055  5.9282e-008  0.036301  0.071391  1.786e-005  2.5983e-005  4.0363e-009  0  0  0  0  0  0  
27  0.46901  3.9019e-007  0.3017  0.58976  7.5692e-008  0.036631  0.071854  2.4093e-005  3.5181e-005  5.0106e-009  0  0  0  0  0  0  
28  0.55147  4.896e-007  0.30137  0.58933  9.5562e-008  0.036865  0.072352  3.1552e-005  4.5877e-005  6.1109e-009  0  0  0  0  0  0  
29  0.64291  6.1129e-007  0.30207  0.58951  1.1884e-007  0.036615  0.071706  4.1375e-005  5.9729e-005  2.7998e-009  0  0  0  0  0  0  
30  0.74686  7.5382e-007  0.3018  0.58779  1.4862e-007  0.037316  0.072972  5.0478e-005  7.2972e-005  8.9575e-009  0  0  0  0  0  0  
31  0.86417  9.2227e-007  0.30121  0.58553  1.863e-007  0.038071  0.074406  6.052e-005  8.7367e-005  1.4696e-008  0.00021709  0.00041427  0  0  0  0  
