
#S 1 L1 Subshell X-ray emission rates.
#U0 File: AP0L1R.DAT received by courtesy of J.L. Campbell
#U1 
#U2 X-ray emission rates for determining relative x-ray line intensities.
#U3 
#U4 Reference: J.L.Campbell and J.X.Wang. Interpolated Dirac-Fock values of L
#U5 subshell X-ray emission rates including overlap and exchange effects. At.Data
#U6 Nucl.Data Tables 43 (1989) 281-291.
#U7 
#N 10
#L Z   L1L3      L1M2      L1M3      L1N2      L1N3      L1O23     L1P23     L1M45     L1N45
1   0         0         0         0         0         0         0         0         0
2   0         0         0         0         0         0         0         0         0
3   0         0         0         0         0         0         0         0         0
4   0         0         0         0         0         0         0         0         0
5   0         0         0         0         0         0         0         0         0
6   0         0         0         0         0         0         0         0         0
7   0         0         0         0         0         0         0         0         0
8   0         0         0         0         0         0         0         0         0
9   0         0         0         0         0         0         0         0         0
10   0         0         0         0         0         0         0         0         0
11   0         0         0         0         0         0         0         0         0
12   0         0         0         0         0         0         0         0         0
13   0         0         0         0         0         0         0         0         0
14   0         0         0         0         0         0         0         0         0
15   0         0         0         0         0         0         0         0         0
16   0         0         0         0         0         0         0         0         0
17   0         0         0         0         0         0         0         0         0
18  8.559E-2  3.125E-1  6.019E-1  0         0         0         0         0         0
19  6.223E-2  3.205E-1  6.173E-1  0         0         0         0         0         0
20  4.786E-2  3.260E-1  6.261E-1  0         0         0         0         0         0
21  3.998E-2  3.295E-1  6.304E-1  0         0         0         0         8.738E-5  0
22  3.401E-2  3.329E-1  6.329E-1  0         0         0         0         2.113E-4  0
23  2.955E-2  3.350E-1  6.351E-1  0         0         0         0         3.738E-4  0
24  2.667E-2  3.365E-1  6.362E-1  0         0         0         0         6.452E-4  0
25  2.331E-2  3.390E-1  6.368E-1  0         0         0         0         8.210E-4  0
26  2.102E-2  3.403E-1  6.375E-1  0         0         0         0         1.108E-3  0
27  1.914E-2  3.419E-1  6.375E-1  0         0         0         0         1.441E-3  0
28  1.757E-2  3.437E-1  6.369E-1  0         0         0         0         1.820E-3  0
29  1.669E-2  3.452E-1  6.358E-1  0         0         0         0         2.337E-3  0
30  1.552E-2  3.465E-1  6.352E-1  0         0         0         0         2.714E-3  0
31  1.448E-2  3.479E-1  6.345E-1  0         0         0         0         3.092E-3  0
32  1.326E-2  3.411E-1  6.187E-1  8.346E-3  1.523E-2  0         0         3.372E-3  0
