
#S 1 L1 x-ray emission rates
#N 20
#L Z  TOTAL  L1L2  L1L3  L1M1  L1M2  L1M3  L1M4  L1M5  L1N1  L1N2  L1N3  L1N4  L1N5  L1N67  L1O1  L1O2  L1O3  L1O45  L1P23
1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
5  9.49e-008  0.33298  0.66702  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
6  3.61e-007  0.33241  0.66759  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
7  9.32e-007  0.33155  0.66845  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
8  2.002e-006  0.33067  0.66933  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
9  3.84e-006  0.33073  0.66927  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
10  6.77e-006  0.32939  0.67061  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
11  8.84e-006  0.32805  0.67195  8.0995e-013  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
12  1.104e-005  0.32609  0.67391  9.058e-012  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
13  1.4897e-005  0.29133  0.60818  3.3631e-011  0.034168  0.066322  0  0  0  0  0  0  0  0  0  0  0  0  0  
14  2.368e-005  0.21622  0.45608  7.4747e-011  0.11149  0.21622  0  0  0  0  0  0  0  0  0  0  0  0  0  
15  4.17e-005  0.14269  0.29017  1.2566e-010  0.19305  0.3741  0  0  0  0  0  0  0  0  0  0  0  0  0  
16  7.764e-005  0.088099  0.19062  1.7646e-010  0.24601  0.47527  0  0  0  0  0  0  0  0  0  0  0  0  0  
17  0.00013897  0.055911  0.12377  2.353e-010  0.28064  0.53968  0  0  0  0  0  0  0  0  0  0  0  0  0  
18  0.00023745  0.03685  0.080438  3.0406e-010  0.30238  0.58033  0  0  0  0  0  0  0  0  0  0  0  0  0  
19  0.00037516  0.026016  0.059708  4.2648e-010  0.3132  0.60108  0  0  1.3568e-011  0  0  0  0  0  0  0  0  0  0  
20  0.0005582  0.019348  0.045503  6.0014e-010  0.32067  0.61448  0  0  6.1985e-011  0  0  0  0  0  0  0  0  0  0  
21  0.00076138  0.015498  0.037564  8.419e-010  0.3256  0.62124  3.9665e-005  5.9104e-005  8.7342e-011  0  0  0  0  0  0  0  0  0  0  
22  0.0010101  0.012771  0.031679  1.1583e-009  0.32966  0.62566  9.4443e-005  0.00014057  1.1781e-010  0  0  0  0  0  0  0  0  0  0  
23  0.0013113  0.010676  0.0273  1.5709e-009  0.33249  0.62913  0.00016472  0.00024479  1.5557e-010  0  0  0  0  0  0  0  0  0  0  
24  0.0016322  0.0092511  0.024506  2.1075e-009  0.33451  0.63104  0.0002806  0.00041661  7.5969e-011  0  0  0  0  0  0  0  0  0  0  
25  0.0020968  0.0077736  0.021318  2.7708e-009  0.33717  0.63286  0.00035148  0.0005246  2.5705e-010  0  0  0  0  0  0  0  0  0  0  
26  0.0025954  0.0067426  0.019226  3.6102e-009  0.33906  0.6338  0.00047006  0.00070123  3.2326e-010  0  0  0  0  0  0  0  0  0  0  
27  0.0031765  0.0058869  0.017346  4.6592e-009  0.34094  0.63434  0.00060758  0.00088461  4.0295e-010  0  0  0  0  0  0  0  0  0  0  
28  0.0038475  0.0051982  0.016166  5.9519e-009  0.34256  0.63418  0.00076413  0.0011332  4.9643e-010  0  0  0  0  0  0  0  0  0  0  
29  0.0045466  0.0046848  0.015242  7.544e-009  0.34421  0.63343  0.00097874  0.0014494  2.2874e-010  0  0  0  0  0  0  0  0  0  0  
30  0.0054958  0.0041486  0.014102  9.4254e-009  0.34572  0.63321  0.0011354  0.0016831  7.3875e-010  0  0  0  0  0  0  0  0  0  0  
31  0.0066451  0.0036418  0.013047  1.1648e-008  0.34537  0.62904  0.0012867  0.0018209  1.2084e-009  0.0020767  0.0037171  0  0  0  0  0  0  0  0  
32  0.0080434  0.0032076  0.012072  1.4173e-008  0.34301  0.62163  0.0014297  0.0021135  1.7406e-009  0.0059303  0.010605  0  0  0  0  0  0  0  0  
33  0.0097209  0.0028084  0.011192  1.7179e-008  0.33947  0.61208  0.0015534  0.0023146  2.3763e-009  0.010966  0.019607  0  0  0  0  0  0  0  0  
34  0.011699  0.0024788  0.010428  2.0599e-008  0.33421  0.60174  0.0016838  0.0024959  3.0856e-009  0.016881  0.030087  0  0  0  0  0  0  0  0  
35  0.014031  0.002188  0.0097497  2.4446e-008  0.32927  0.5894  0.001796  0.0026726  4.0552e-009  0.023376  0.04155  0  0  0  0  0  0  0  0  
36  0.016764  0.0019327  0.0091623  2.893e-008  0.3239  0.57622  0.0019028  0.0028334  5.1418e-009  0.030362  0.053685  0  0  0  0  0  0  0  0  
37  0.019838  0.001724  0.0086905  3.4228e-008  0.31959  0.56609  0.0020214  0.0029792  6.7548e-009  0.035639  0.063263  0  0  0  1.9559e-010  0  0  0  0  
38  0.023307  0.0015446  0.0083108  4.0417e-008  0.31664  0.55735  0.002141  0.0031879  8.7099e-009  0.039988  0.070837  0  0  0  7.8518e-010  0  0  0  0  
39  0.027112  0.0013942  0.0077862  4.758e-008  0.31499  0.55142  0.0022721  0.003386  1.0955e-008  0.042933  0.075797  1.0696e-005  1.5897e-005  0  1.0659e-009  0  0  0  0  
40  0.03137  0.0012656  0.0078069  5.6105e-008  0.31368  0.54607  0.0024068  0.0035831  1.358e-008  0.045394  0.079727  2.6586e-005  3.9529e-005  0  1.3548e-009  0  0  0  0  
41  0.036002  0.0011555  0.0076524  6.6108e-008  0.3136  0.54248  0.0025499  0.003797  1.6555e-008  0.046859  0.081774  5.6386e-005  8.3607e-005  0  6.8052e-010  0  0  0  0  
42  0.041207  0.0010581  0.007523  7.7414e-008  0.31281  0.53826  0.0026913  0.004009  2.0166e-008  0.048754  0.084694  8.2025e-005  0.00012182  0  8.1539e-010  0  0  0  0  
43  0.046948  0.00097128  0.0074337  9.0525e-008  0.31247  0.53421  0.002835  0.0042259  2.4282e-008  0.05046  0.087117  0.00011204  0.00016657  0  9.6063e-010  0  0  0  0  
44  0.053277  0.00089532  0.0073953  1.0549e-007  0.31233  0.53044  0.0029844  0.0044466  2.9281e-008  0.051992  0.089157  0.00014622  0.00021773  0  1.1187e-009  0  0  0  0  
45  0.060182  0.00082749  0.0073776  2.2931e-008  0.31239  0.52674  0.0031372  0.0046775  3.4894e-008  0.053338  0.091057  0.00018444  0.00027583  0  1.2944e-009  0  0  0  0  
46  0.067699  0.00076663  0.0074004  1.4225e-007  0.31271  0.52438  0.003297  0.0049188  3.2349e-008  0.054211  0.09173  0.00023634  0.00035008  0  0  0  0  0  0  
47  0.076097  0.00071225  0.0074378  1.6426e-007  0.31249  0.52039  0.0034535  0.0051513  4.8885e-008  0.05585  0.093827  0.00027596  0.00041132  0  1.6952e-009  0  0  0  0  
48  0.085261  0.0006615  0.0075064  1.8883e-007  0.31222  0.51607  0.0036125  0.0053835  5.7823e-008  0.057588  0.096176  0.0003155  0.0004715  0  4.9026e-009  0  0  0  0  
49  0.095345  0.00061671  0.007583  2.1711e-007  0.31181  0.51078  0.0037758  0.0056322  6.8173e-008  0.059154  0.098484  0.0003566  0.0005349  0  7.2579e-009  0.00050134  0.00076984  0  0  
50  0.10658  0.0005733  0.0076753  2.4771e-007  0.31058  0.50575  0.0039221  0.005855  7.985e-008  0.060708  0.1004  0.00039597  0.00059676  0  9.6646e-009  0.0013878  0.00216  0  0  
51  0.11885  0.00053513  0.0077829  2.8187e-007  0.30963  0.49979  0.0040808  0.0060917  9.3395e-008  0.062179  0.10223  0.00043584  0.00065882  0  1.2453e-008  0.0025663  0.0040135  0  0  
