
#S 1 M1 emission rates
#N 20
#L Z  TOTAL  M1M2  M1M3  M1M4  M1M5  M1N1  M1N2  M1N3  M1N4  M1N5  M1N6  M1N7  M1O1  M1O2  M1O3  M1O4  M1O5  M1P2  M1P3
1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
13  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
15  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
17  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
21  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
22  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
23  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
24  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
25  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
26  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
28  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
29  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
30  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
31  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
32  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
33  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
34  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
35  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
36  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
37  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
38  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
39  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
40  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
41  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
42  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
43  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
44  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
45  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
46  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
47  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
48  0.00053671  0.032792  0.079373  3.4469e-005  3.9314e-005  9.1297e-010  0.51611  0.37078  0.0004509  0.00042481  0  0  1.1179e-009  0  0  0  0  0  0  
49  0.00066913  0.027861  0.07355  3.1555e-005  3.6529e-005  6.8191e-009  0.52691  0.37042  0.00061316  0.00058028  0  0  3.1171e-009  0  0  0  0  0  0  
50  0.00080155  0.02456  0.069651  2.9603e-005  3.4665e-005  1.0774e-008  0.53414  0.37018  0.00072182  0.00068439  0  0  4.4557e-009  0  0  0  0  0  0  
51  0.00093397  0.022194  0.066857  2.8205e-005  3.3329e-005  1.3607e-008  0.53933  0.37  0.00079966  0.00075897  0  0  5.4147e-009  0  0  0  0  0  0  
52  0.0010664  0.020416  0.064758  2.7154e-005  3.2325e-005  1.5737e-008  0.54322  0.36987  0.00085817  0.00081503  0  0  6.1355e-009  0  0  0  0  0  0  
53  0.0011988  0.019031  0.063122  2.6336e-005  3.1543e-005  1.7396e-008  0.54626  0.36977  0.00090375  0.00085871  0  0  6.6971e-009  0  0  0  0  0  0  
54  0.0013312  0.017921  0.061812  2.568e-005  3.0917e-005  1.8725e-008  0.54869  0.36969  0.00094027  0.00089369  0  0  7.147e-009  0  0  0  0  0  0  
55  0.0016598  0.015002  0.053562  2.2172e-005  2.6811e-005  1.7472e-008  0.48561  0.32595  0.00085555  0.00081337  0  0  6.6275e-009  0.070492  0.047658  0  0  0  0  
56  0.0019606  0.013329  0.053397  2.1734e-005  2.6863e-005  3.2417e-008  0.49123  0.31895  0.000998  0.00094416  0  0  1.0598e-008  0.073277  0.04782  0  0  0  0  
57  0.0022614  0.012101  0.053275  2.1412e-005  2.69e-005  4.3384e-008  0.49536  0.31381  0.0011025  0.0010401  0  0  1.3512e-008  0.075321  0.047939  0  0  0  0  
58  0.0025623  0.011162  0.053182  2.1166e-005  2.6929e-005  5.1777e-008  0.49852  0.30988  0.0011825  0.0011136  0  0  1.5741e-008  0.076885  0.04803  0  0  0  0  
59  0.0028631  0.01042  0.053108  2.0972e-005  2.6952e-005  5.8406e-008  0.50101  0.30678  0.0012457  0.0011716  0  0  1.7502e-008  0.07812  0.048102  0  0  0  0  
60  0.003164  0.0098189  0.053049  2.0814e-005  2.697e-005  6.3774e-008  0.50303  0.30426  0.0012969  0.0012186  0  0  1.8928e-008  0.07912  0.048161  0  0  0  0  
61  0.0034648  0.0093223  0.053  2.0684e-005  2.6986e-005  6.821e-008  0.5047  0.30218  0.0013392  0.0012574  0  0  2.0107e-008  0.079947  0.048209  0  0  0  0  
62  0.0037656  0.0089051  0.052958  2.0575e-005  2.6999e-005  7.1937e-008  0.5061  0.30044  0.0013747  0.00129  0  0  2.1097e-008  0.080642  0.048249  0  0  0  0  
63  0.0040665  0.0085496  0.052923  2.0482e-005  2.7009e-005  7.5113e-008  0.50729  0.29895  0.001405  0.0013178  0  0  2.1941e-008  0.081233  0.048284  0  0  0  0  
64  0.0043673  0.008243  0.052893  2.0401e-005  2.7019e-005  7.7851e-008  0.50832  0.29766  0.0014311  0.0013418  2.7706e-006  2.7248e-006  2.2668e-008  0.081743  0.048313  0  0  0  0  
65  0.0048348  0.0077459  0.055018  2.108e-005  2.844e-005  9.7901e-008  0.51501  0.29267  0.0015426  0.0014409  3.2232e-006  3.1611e-006  2.7578e-008  0.080389  0.046124  0  0  0  0  
66  0.0053023  0.0073365  0.056768  2.1638e-005  2.961e-005  1.1442e-007  0.52053  0.28855  0.0016345  0.0015226  3.5959e-006  3.5205e-006  3.1622e-008  0.079274  0.044321  0  0  0  0  
67  0.0057698  0.0069934  0.058235  2.2107e-005  3.0591e-005  1.2826e-007  0.52515  0.28511  0.0017115  0.0015911  3.9083e-006  3.8217e-006  3.501e-008  0.07834  0.042809  0  0  0  0  
